CellName,Monkeys,GeneNumber,UMI_counts,Region,cell_type
AAn.1_Y.F.1_CE01_1,Y.F.1,3718,97600,AAn,AF
AAn.1_Y.F.1_CE01_2,Y.F.1,4186,144927,AAn,AF
AAn.1_Y.F.1_CE01_3,Y.F.1,4156,113558,AAn,AF
AAn.1_Y.F.1_CE01_4,Y.F.1,4298,244522,AAn,AF
AAn.1_Y.F.1_CE01_5,Y.F.1,3302,45630,AAn,AF
AAn.1_Y.F.1_CE01_6,Y.F.1,2647,38143,AAn,AF
AAn.1_Y.F.1_CE01_7,Y.F.1,2567,65552,AAn,AF
AAn.1_Y.F.1_CE01_8,Y.F.1,2561,29980,AAn,AF
AAn.1_Y.F.1_CE01_9,Y.F.1,5631,548103,AAn,AF
AAn.1_Y.F.1_CE01_10,Y.F.1,3278,91005,AAn,AF
AAn.1_Y.F.1_CE01_11,Y.F.1,3557,88330,AAn,AF
AAn.1_Y.F.1_CE01_12,Y.F.1,2846,42838,AAn,AF
AAn.1_Y.F.1_CE01_13,Y.F.1,3407,63466,AAn,AF
AAn.1_Y.F.1_CE01_14,Y.F.1,4621,228441,AAn,AF
AAn.1_Y.F.1_CE01_15,Y.F.1,3363,109562,AAn,AF
AAn.1_Y.F.1_CE01_16,Y.F.1,2455,63346,AAn,ILC
AAn.1_Y.F.1_CE01_17,Y.F.1,2767,53380,AAn,AF
AAn.1_Y.F.1_CE01_19,Y.F.1,3043,80368,AAn,AF
AAn.1_Y.F.1_CE01_20,Y.F.1,2321,12187,AAn,AF
AAn.1_Y.F.1_CE01_21,Y.F.1,2969,71213,AAn,ILC
AAn.1_Y.F.1_CE01_24,Y.F.1,3079,52269,AAn,AF
AAn.1_Y.F.1_CE01_25,Y.F.1,3778,127462,AAn,AF
AAn.1_Y.F.1_CE01_26,Y.F.1,3593,90857,AAn,AF
AAn.1_Y.F.1_CE01_27,Y.F.1,4044,107774,AAn,ILC
AAn.1_Y.F.1_CE01_28,Y.F.1,2843,30240,AAn,AF
AAn.1_Y.F.1_CE01_29,Y.F.1,3134,48164,AAn,AF
AAn.1_Y.F.1_CE01_30,Y.F.1,2698,42274,AAn,ILC
AAn.1_Y.F.1_CE01_31,Y.F.1,2335,37520,AAn,AF
AAn.1_Y.F.1_CE01_32,Y.F.1,3739,46769,AAn,AF
AAn.1_Y.F.1_CE01_34,Y.F.1,2196,10033,AAn,AF
AAn.1_Y.F.1_CE01_35,Y.F.1,3000,32178,AAn,AF
AAn.1_Y.F.1_CE01_36,Y.F.1,1342,4667,AAn,AF
AAn.1_Y.F.1_CE01_37,Y.F.1,3984,143833,AAn,AF
AAn.1_Y.F.1_CE01_38,Y.F.1,2922,83007,AAn,ILC
AAn.1_Y.F.1_CE01_39,Y.F.1,2478,28899,AAn,AF
AAn.1_Y.F.1_CE01_40,Y.F.1,2392,45907,AAn,AF
AAn.1_Y.F.1_CE01_41,Y.F.1,4475,221388,AAn,AF
AAn.1_Y.F.1_CE01_42,Y.F.1,4100,158530,AAn,AF
AAn.1_Y.F.1_CE01_43,Y.F.1,3528,47868,AAn,ILC
AAn.1_Y.F.1_CE01_45,Y.F.1,3402,93052,AAn,AF
AAn.1_Y.F.1_CE01_46,Y.F.1,2852,27128,AAn,AF
AAn.1_Y.F.1_CE01_47,Y.F.1,3104,56962,AAn,AF
AAn.1_Y.F.1_CE01_48,Y.F.1,2522,48241,AAn,AF
